DriverId,Url
alguersuari,https://hips.hearstapps.com/es.h-cdn.co/cades/gran_premio/pilotos/3524/alguersuariokcaranddriver.jpg
alonso,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/alonso-amr23-1676318743.jpg?crop=1xw:0.5xh;center,top&resize=1200:*"
barrichello,https://i.pinimg.com/736x/65/97/2c/65972c915952d00382185a8e9d298e27--jordans-moto-gp.jpg
buemi,https://static-files.formula-e.pulselive.com/drivers/bc4a0209-f233-46c8-afce-842d1c48358f/right/large/d001837f-806a-4ccf-adac-3f5dccee21ed.png
button,https://hips.hearstapps.com/es.h-cdn.co/cades/gran_premio/pilotos/3520/22.jpg
chandhok,https://storage.googleapis.com/ecm-prod/assets/1/pilote/31/portrait_Karun_CHANDHOK_GR8R8914_f8974d.png
rosa,https://hips.hearstapps.com/es.h-cdn.co/cades/gran_premio/pilotos/3534/pedro-de-la-rosa-vestido-ferrari.png
grassi,https://static-files.formula-e.pulselive.com/drivers/bc4a0209-f233-46c8-afce-842d1c48358f/right/large/4a390151-89af-4931-9907-bcbaabb5a152.png
glock,https://cdn-4.motorsport.com/images/mgl/2erVbR9Y/s8/dtm-start-field-presentation-2016-timo-glock-bmw-team-rmg-bmw-m4-dtm.jpg
hamilton,https://cdn-7.motorsport.com/images/mgl/0mb95oa2/s800/lewis-hamilton-mercedes-1.jpg
heidfeld,https://formula1.sporting99.com/pic/nick-heidfeld.jpg
hulkenberg,https://cdn.racingnews365.com/Riders/Hulkenberg/_570x570_crop_center-center_none/f1_2023_nh_haa_lg.png?v=1677516393
klien,https://storage.googleapis.com/ecm-prod/assets/1/pilote/317/Klien_Christian-5_544b98.png
kobayashi,https://storage.googleapis.com/ecm-prod/assets/1/pilote/4134/toyota-gazoo-racing-kamui-kobayashi-jpn-0018_5640d3.png
kovalainen,https://upload.wikimedia.org/wikipedia/commons/3/3b/Heikki_Kovalainen_2010_Malaysia.jpg
kubica,https://storage.googleapis.com/ecm-prod/assets/1/pilote/4187/teamwr-3_e7a321.png
liuzzi,https://storage.googleapis.com/ecm-prod/assets/1/pilote/191/Vitantonio-Liuzzi-2_384f4a.png
massa,hhttps://www.formula1points.com/images/driver/felipe-massa.jpgttps://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Felipe_Massa_Le_Mans_Classic_2018_%28cropped%29.jpg/1024px-Felipe_Massa_Le_Mans_Classic_2018_%28cropped%29.jpg
petrov,https://storage.googleapis.com/ecm-prod/assets/1/pilote/1136/vitaly-petrov_e9c427.png
rosberg,https://hips.hearstapps.com/es.h-cdn.co/cades/gran_premio/pilotos/3527/mercedes2016-rosberg.jpg
michael_schumacher,https://cdn.forbes.com.mx/2022/11/Michael-Schumacher-640x360.png
bruno_senna,https://storage.googleapis.com/ecm-prod/assets/1/pilote/406/bruno-senna_1014ba.png
sutil,https://static.motor.es/f1/fichas/contenido/adrian-sutil.jpg
trulli,https://cdn-8.motorsport.com/images/amp/rYEem55Y/s6/f1-brazilian-gp-2005-jarno-tru.jpg
vettel,https://www.unavozcontodos.mx/wp-content/uploads/2022/02/Sebastian-Vettel.jpeg
webber,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/presenter-and-former-f1-driver-mark-webber-of-australia-news-photo-1674668348.jpg?crop=1xw:0.74992xh;center,top&resize=1200:*"
yamamoto,https://d3cm515ijfiu6w.cloudfront.net/wp-content/uploads/2019/10/12104119/NaokiYamamotoPA1.jpg
ambrosio,https://cdn-9.motorsport.com/static/img/amp/5000000/5080000/5081000/5081600/5081633/s6_1000223/1000223.jpg
resta,https://storage.googleapis.com/ecm-prod/assets/1/pilote/3966/123fpm-mh-6275_48a2ce.png
karthikeyan,https://www.racefans.net/wp-content/uploads/2020/01/racefansdotnet-20111027-123122-1.jpg
maldonado,https://e1.365dm.com/14/03/2048x1152/maldo_3095887.jpgtps://upload.wikimedia.org/wikipedia/commons/0/00/Pastor_Maldonado_2015_Malaysia.jpg
perez,https://cdn-4.motorsport.com/images/mgl/0a9neZP0/s8/sergio-perez-red-bull-racing-1.jpg
ricciardo,https://cdn.racingnews365.com/2021/Ricciardo/_975xAUTO_fit_center-center_85_none/ca89499e76bcb1efb0eaedfc82329d3667f26d4da0b29f9fb5806c76.jpg?v=1646227927
grosjean,https://media.formula1.com/image/upload/content/dam/fom-website/manual/Misc/2020/2020races/Portugal/Grosjean/GettyImages-1207335921.jpg
pic,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/2col/image.png
raikkonen,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/arro-2021-rai-racesuit-fullbody-helmet-0343-1613996103.jpg?crop=1.00xw:0.375xh;0,0.0597xh&resize=480:*"
vergne,https://static.motor.es/f1/fichas/contenido/jean-eric-vergne.jpg
jules_bianchi,https://static.wikia.nocookie.net/f1wikia/images/f/f9/Jules_Bianchi.jpg/revision/latest?cb=20130609001944
bottas,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/bottas.jpg.img.1536.high.jpg
chilton,https://www.planetf1.com/content/uploads/2014/02/Max-Chilton-Marussia-2013_2918263.jpg
gutierrez,https://cdn-1.motorsport.com/images/amp/YW7kKL1Y/s1000/esteban-ocon-mercedes-amg-f1-1.jpg
garde,https://cdn-6.motorsport.com/static/img/amp/400000/430000/431000/431300/431315/s6_16772/gp2-singapore-2012-giedo-van-der-garde.jpg
ericsson,"https://hips.hearstapps.com/es.h-cdn.co/cades/gran_premio/pilotos/3619/marcus_ericsson_piloto_2018.jpg?crop=0.6666666666666666xw:1xh;center,top&resize=1200:*"
kvyat,https://www.cymotorsport.com/wp-content/uploads/2019/10/Daniil-Kvyat-ormula-1-Driver-Cranky-Yankee-F1.jpg
lotterer,https://cdn-3.motorsport.com/static/img/amp/400000/450000/455000/455500/455594/s6_87930/f1-belgian-gp-2014-andre-lotterer-caterham-f1-team.jpg
kevin_magnussen,https://cdn-4.motorsport.com/images/mgl/0ZRMkxo0/s800/kevin-magnussen-haas-1.jpg
stevens,https://static.wikia.nocookie.net/f1wikia/images/c/ca/Will-stevens.jpg/revision/latest?cb=20150226030159
merhi,https://hips.hearstapps.com/es.h-cdn.co/cades/contenidos/23919/roberto_merhi_dtm_mercedes.jpg?resize=480:*
nasr,https://www.formula1points.com/images/driver/felipe-nasr.jpg
rossi,https://upload.wikimedia.org/wikipedia/commons/4/45/Andretti_Autosport_Visit_180405-F-KS667-0012_%28cropped%29.jpg
sainz,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/sainz.jpg.img.640.medium.jpg/1677069189406.jpg
max_verstappen,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/verstappen.jpg.img.640.medium.jpg/1677069646195.jpg
haryanto,https://cdn-1.motorsport.com/static/img/amp/600000/670000/674000/674000/674087/s6_1044434/f1-young-driver-test-2012-rio-haryanto-marussia-f1-team-test-driver.jpg
ocon,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/ocon.jpg.img.640.medium.jpg/1677069269007.jpg
jolyon_palmer,https://static.wikia.nocookie.net/f1wikia/images/9/90/Jolyon_Palmer.jpg/revision/latest?cb=20161024233041
vandoorne,https://www.f1-fansite.com/wp-content/uploads/2016/04/H7I0875.jpg
wehrlein,https://static.wikia.nocookie.net/f1wikia/images/9/91/Pascal_Wehrlein.jpg/revision/latest/thumbnail/width/360/height/450?cb=20150218131752
gasly,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/gasly.jpg.img.1536.high.jpg
giovinazzi,https://cdn.racingnews365.com/Riders/Giovinazzi/_570x570_crop_center-center_none/f1_2021_ag_alf_lg.png?v=1650634606
brendon_hartley,https://cdn-8.motorsport.com/images/amp/6lPz7O46/s1000/wec-austin-2017-brendon-hartley-timo-bernhard-earl-bamber-porsche-team-6522684.jpg
stroll,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/stroll.jpg.img.640.medium.jpg/1677069453013.jpg
leclerc,https://d3cm515ijfiu6w.cloudfront.net/wp-content/uploads/2021/02/11125924/Charles-Leclerc-PA2.jpg
sirotkin,https://www.formula1points.com/images/driver/sergey-sirotkin.jpg
albon,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/albon.jpg.img.1536.high.jpg
norris,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/norris.jpg.img.1536.high.jpg
russell,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/russell.jpg.img.1536.high.jpg
aitken,https://d3cm515ijfiu6w.cloudfront.net/wp-content/uploads/2020/12/02091127/PA-51271421-1.jpg
pietro_fittipaldi,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/fit-1-569-1676163139.jpg?crop=1.00xw:0.334xh;0,0.0383xh&resize=480:*"
latifi,https://cdn.racingnews365.com/Riders/Latifi/_570x570_crop_center-center_none/f1_2022_nl_wil_lg.png?v=1647865459
mazepin,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/j5a5556-284-1645439106.jpeg?crop=1.00xw:0.334xh;0,0.0902xh&resize=1200:*"
mick_schumacher,https://cdn.racingnews365.com/Riders/Schumacher/_570x570_crop_center-center_none/f1_2022_ms_haa_lg.png?v=1647865851
tsunoda,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/tsunoda.jpg.img.1536.high.jpg
de_vries,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/devries.jpg.img.1536.high.jpg
zhou,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/zhou.jpg.img.1536.high.jpg
piastri,https://media.formula1.com/content/dam/fom-website/drivers/2023Drivers/piastri.jpg.img.1536.high.jpg
sargeant,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/williams-fw45-25-1675693156.jpg?crop=0.986xw:0.328xh;0,0.0824xh&resize=640:*"
